 ,Dec-00,2000,Dec-01,2001,Dec-02,2002,Dec-03,2003,Dec-04,2004,Dec-05,2005,Dec-06,2006,Dec-07,2007,Dec-08,2008,Dec-09,2009,Dec-10,2010,Dec-11,2011,Dec-12,2012,Dec-13,2013,Dec-14,2014,Dec-15,2015,Dec-16,2016,Dec-17,2017,Dec-18,2018,Dec-19,2019,Dec-20,2020,Dec-21,2021,Dec-22,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGA,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glen Eira,50,3.80%,77,6.10%,58,4.40%,59,4.70%,45,3.50%,47,4.10%,37,3.10%,20,1.60%,16,1.30%,23,1.60%,13,0.90%,19,1.20%,18,1.00%,19,1.10%,33,1.80%,23,1.30%,23,1.20%,8,0.40%,16,0.80%,19,0.90%,18,0.90%,46,2.00%,12,0.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenelg,125,98.40%,84,93.30%,111,97.40%,105,90.50%,81,92.00%,100,96.20%,68,70.80%,84,83.20%,106,84.10%,94,85.50%,102,81.60%,116,85.30%,77,76.20%,103,85.80%,114,86.40%,98,92.50%,105,86.80%,92,89.30%,82,79.60%,61,64.90%,35,43.80%,37,42.50%,25,28.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Plains,18,90.00%,14,100.00%,12,92.30%,22,88.00%,20,87.00%,25,96.20%,30,88.20%,29,82.90%,16,59.30%,22,84.60%,19,55.90%,14,35.00%,14,35.90%,11,24.40%,13,36.10%,23,52.30%,14,41.20%,13,35.10%,4,16.70%,10,30.30%,8,14.00%,14,31.10%,18,34.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater Bendigo,526,82.60%,545,88.30%,474,77.60%,542,75.60%,495,68.70%,544,74.00%,502,70.80%,538,73.20%,612,73.30%,491,63.80%,414,53.00%,392,46.90%,433,47.60%,518,51.00%,678,64.80%,655,63.30%,602,60.40%,578,60.90%,426,51.30%,368,42.90%,276,37.00%,185,23.90%,163,22.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater Dandenong,709,76.80%,755,80.80%,671,77.20%,670,78.90%,648,76.50%,590,75.60%,536,72.10%,363,52.90%,216,26.40%,128,13.50%,115,11.10%,159,14.50%,150,12.80%,132,11.90%,175,14.80%,136,10.10%,113,8.40%,100,7.80%,83,6.50%,107,7.60%,101,8.30%,162,12.10%,97,8.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater Geelong,"1,024",73.40%,"1,039",77.00%,"1,004",72.70%,"1,024",68.10%,932,63.30%,933,66.20%,794,60.90%,715,52.70%,602,42.20%,572,37.10%,406,25.20%,425,24.60%,478,26.20%,497,25.60%,667,32.80%,617,29.20%,603,28.40%,487,22.60%,380,18.40%,357,16.70%,301,14.50%,263,12.60%,203,9.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater Shepparton,295,69.60%,364,74.70%,343,72.80%,342,73.70%,353,75.10%,320,76.60%,326,76.90%,334,80.10%,387,78.20%,313,71.50%,314,70.70%,333,72.10%,349,71.80%,289,68.50%,331,71.50%,311,66.90%,280,64.10%,313,65.80%,246,61.20%,251,56.40%,198,55.20%,192,45.40%,121,32.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hepburn,41,85.40%,45,95.70%,42,84.00%,61,85.90%,49,75.40%,54,80.60%,53,82.80%,46,78.00%,59,68.60%,35,55.60%,37,56.10%,22,28.90%,36,45.60%,25,36.80%,34,45.30%,30,39.00%,39,46.40%,31,41.30%,19,32.80%,15,22.10%,9,16.70%,12,20.30%,10,18.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hindmarsh,15,100.00%,14,100.00%,16,100.00%,15,100.00%,18,100.00%,20,100.00%,16,100.00%,20,100.00%,23,100.00%,23,92.00%,25,100.00%,20,100.00%,28,96.60%,19,95.00%,28,100.00%,24,100.00%,27,93.10%,28,100.00%,21,100.00%,21,95.50%,15,83.30%,18,85.70%,12,85.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hobsons Bay,184,28.00%,232,35.40%,237,33.20%,281,38.30%,245,37.60%,267,40.80%,212,35.80%,152,26.70%,110,16.60%,43,7.10%,46,6.90%,57,8.90%,54,8.40%,56,8.20%,67,9.40%,47,6.40%,37,4.90%,20,2.70%,18,2.50%,26,3.40%,23,3.10%,56,7.90%,53,7.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
