Year,Year ending,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population",LGA,LGATRIM
2021,December,2 Eastern, Boroondara,"5,532","3,256.0", BOROONDARA,Boroondara
2021,December,2 Eastern, East Gippsland,"3,590","7,409.2", EAST GIPPSLAND,East Gippsland
2021,December,2 Eastern, Greater Shepparton,"5,899","8,608.9", GREATER SHEPPARTON,Greater Shepparton
2021,December,2 Eastern, Indigo,405,"2,348.0", INDIGO,Indigo
2021,December,2 Eastern, Knox,"7,055","4,396.1", KNOX,Knox
2021,December,2 Eastern, Latrobe,"7,988","10,362.5", LATROBE,Latrobe
2021,December,2 Eastern, Manningham,"2,990","2,376.3", MANNINGHAM,Manningham
2021,December,2 Eastern, Mansfield,365,"3,609.6", MANSFIELD,Mansfield
2021,December,2 Eastern, Maroondah,"5,307","4,571.8", MAROONDAH,Maroondah
2021,December,2 Eastern, Mitchell,"2,481","4,993.6", MITCHELL,Mitchell
2021,December,2 Eastern, Moira,"1,675","5,518.8", MOIRA,Moira
2021,December,2 Eastern, Monash,"8,539","4,423.2", MONASH,Monash
2021,December,2 Eastern, Murrindindi,557,"3,680.5", MURRINDINDI,Murrindindi
2021,December,2 Eastern, South Gippsland,"1,184","3,897.6", SOUTH GIPPSLAND,South Gippsland
2021,December,2 Eastern, Strathbogie,463,"4,074.3", STRATHBOGIE,Strathbogie
2021,December,2 Eastern, Towong,161,"2,603.9", TOWONG,Towong
2021,December,2 Eastern, Wangaratta,"1,676","5,635.5", WANGARATTA,Wangaratta
2021,December,2 Eastern, Wellington,"2,939","6,466.2", WELLINGTON,Wellington
2021,December,2 Eastern, Whitehorse,"5,685","3,321.3", WHITEHORSE,Whitehorse
2021,December,2 Eastern, Wodonga,"2,469","5,717.5", WODONGA,Wodonga
2021,December,2 Eastern, Yarra Ranges,"5,125","3,255.6", YARRA RANGES,Yarra Ranges
2021,December,2 Eastern,Total,"78,704","4,622.5",TOTAL,Total
2021,December,3 Southern Metro, Bayside,"3,338","3,261.8", BAYSIDE,Bayside
2021,December,3 Southern Metro, Cardinia,"4,759","3,981.7", CARDINIA,Cardinia
2021,December,3 Southern Metro, Casey,"14,244","3,855.4", CASEY,Casey
2021,December,3 Southern Metro, Frankston,"8,340","5,922.9", FRANKSTON,Frankston
2021,December,3 Southern Metro, Glen Eira,"5,255","3,487.4", GLEN EIRA,Glen Eira
2021,December,3 Southern Metro, Greater Dandenong,"11,646","7,271.0", GREATER DANDENONG,Greater Dandenong
2021,December,3 Southern Metro, Kingston,"6,759","4,235.8", KINGSTON,Kingston
2021,December,3 Southern Metro, Mornington Peninsula,"6,423","3,769.6", MORNINGTON PENINSULA,Mornington Peninsula
2021,December,3 Southern Metro, Port Phillip,"9,396","9,077.6", PORT PHILLIP,Port Phillip
2021,December,3 Southern Metro, Stonnington,"8,053","7,577.3", STONNINGTON,Stonnington
2021,December,3 Southern Metro,Total,"78,213","4,941.7",TOTAL,Total
2021,December,4 Western, Ararat,"1,005","8,501.8", ARARAT,Ararat
2021,December,4 Western, Ballarat,"7,532","6,637.2", BALLARAT,Ballarat
2021,December,4 Western, Buloke,194,"3,164.8", BULOKE,Buloke
2021,December,4 Western, Campaspe,"2,440","6,330.3", CAMPASPE,Campaspe
2021,December,4 Western, Central Goldfields,797,"5,955.8", CENTRAL GOLDFIELDS,Central Goldfields
2021,December,4 Western, Colac-Otway,"1,184","5,308.5", COLAC-OTWAY,Colac-Otway
2021,December,4 Western, Corangamite,594,"3,705.8", CORANGAMITE,Corangamite
2021,December,4 Western, Gannawarra,551,"5,192.2", GANNAWARRA,Gannawarra
2021,December,4 Western, Glenelg,"1,200","5,983.2", GLENELG,Glenelg
2021,December,4 Western, Golden Plains,440,"1,768.6", GOLDEN PLAINS,Golden Plains
2021,December,4 Western, Greater Bendigo,"7,715","6,364.4", GREATER BENDIGO,Greater Bendigo
2021,December,4 Western, Greater Geelong,"14,731","5,440.3", GREATER GEELONG,Greater Geelong
2021,December,4 Western, Hepburn,438,"2,658.4", HEPBURN,Hepburn
2021,December,4 Western, Hindmarsh,308,"5,445.5", HINDMARSH,Hindmarsh
2021,December,4 Western, Horsham,"1,564","7,678.3", HORSHAM,Horsham
2021,December,4 Western, Loddon,407,"5,285.7", LODDON,Loddon
2021,December,4 Western, Macedon Ranges,"1,470","2,850.2", MACEDON RANGES,Macedon Ranges
2021,December,4 Western, Mildura,"4,724","8,292.2", MILDURA,Mildura
2021,December,4 Western, Moorabool,"1,614","4,259.1", MOORABOOL,Moorabool
2021,December,4 Western, Mount Alexander,728,"3,620.8", MOUNT ALEXANDER,Mount Alexander
2021,December,4 Western, Moyne,530,"3,065.2", MOYNE,Moyne
2021,December,4 Western, Northern Grampians,832,"7,000.4", NORTHERN GRAMPIANS,Northern Grampians
2021,December,4 Western, Pyrenees,327,"4,295.3", PYRENEES,Pyrenees
2021,December,4 Western, Queenscliffe,74,"2,287.5", QUEENSCLIFFE,Queenscliffe
2021,December,4 Western, Southern Grampians,757,"4,591.2", SOUTHERN GRAMPIANS,Southern Grampians
2021,December,4 Western, Surf Coast,"1,075","2,857.3", SURF COAST,Surf Coast
2021,December,4 Western, Swan Hill,"1,732","8,099.9", SWAN HILL,Swan Hill
2021,December,4 Western, Warrnambool,"2,269","6,406.2", WARRNAMBOOL,Warrnambool
2021,December,4 Western, West Wimmera,162,"4,073.4", WEST WIMMERA,West Wimmera
2021,December,4 Western, Yarriambiack,282,"4,331.1", YARRIAMBIACK,Yarriambiack
2021,December,4 Western,Total,"57,676","5,506.5",TOTAL,Total
2021,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,965,, JUSTICE INSTITUTIONS AND IMMIGRATION FACILITIES,Justice Institutions and Immigration Facilities
2021,December,Justice Institutions and Immigration Facilities,Total,965,,TOTAL,Total
2021,December,Unincorporated Vic, Unincorporated Vic,66,, UNINCORPORATED VIC,Unincorporated Vic
2021,December,Unincorporated Vic,Total,66,,TOTAL,Total
2020,December,1 North West Metro, Banyule,"6,705","5,152.9", BANYULE,Banyule
2020,December,1 North West Metro, Brimbank,"15,355","7,527.0", BRIMBANK,Brimbank
2020,December,1 North West Metro, Darebin,"12,015","7,659.1", DAREBIN,Darebin
