LGA,Region,Section of State,Year,Portion Bullied,"Rate per 100,000 population"
YARRIAMBIACK,Wimmera Southern Mallee,Regional Victoria,2009,25.1,"6,364.4"
ALPINE,Hume,Regional Victoria,2010,26.2,"5,440.3"
ARARAT,Central Highlands,Regional Victoria,2010,28.3,"2,658.4"
BALLARAT,Central Highlands,Regional Victoria,2010,26.5,"5,445.5"
BANYULE,Melbourne,Metropolitan Melbourne,2010,21.1,"7,678.3"
BASS COAST,Gippsland,Regional Victoria,2010,23.9,"5,285.7"
BAW BAW,Gippsland,Regional Victoria,2010,26,"2,850.2"
BAYSIDE,Melbourne,Metropolitan Melbourne,2010,14.9,"8,292.2"
BENALLA,Hume,Regional Victoria,2010,30.3,"4,259.1"
BOROONDARA,Melbourne,Metropolitan Melbourne,2010,17.5,"3,620.8"
BRIMBANK,Melbourne,Metropolitan Melbourne,2010,19.1,"3,065.2"
BULOKE,Loddon Mallee North,Regional Victoria,2010,18.3,"7,000.4"
CAMPASPE,Loddon Mallee North,Regional Victoria,2010,24.2,"4,295.3"
CARDINIA,Melbourne,Metropolitan Melbourne,2010,26.6,"2,287.5"
CASEY,Melbourne,Metropolitan Melbourne,2010,22.1,"4,591.2"
CENTRAL GOLDFIELDS,Loddon Mallee South,Regional Victoria,2010,34,"2,857.3"
COLAC OTWAY,G21,Regional Victoria,2010,35.5,"8,099.9"
CORANGAMITE,Great South Coast,Regional Victoria,2010,13.2,"6,406.2"
DAREBIN,Melbourne,Metropolitan Melbourne,2010,18.8,"4,073.4"
EAST GIPPSLAND,Gippsland,Regional Victoria,2010,24.7,"4,331.1"
FRANKSTON,Melbourne,Metropolitan Melbourne,2010,22.8,"5,506.5"
GANNAWARRA,Loddon Mallee North,Regional Victoria,2010,19.1,
GLEN EIRA,Melbourne,Metropolitan Melbourne,2010,16.7,
GLENELG,Great South Coast,Regional Victoria,2010,29.3,
GREATER BENDIGO,Loddon Mallee South,Regional Victoria,2010,27.3,
GREATER DANDENONG,Melbourne,Metropolitan Melbourne,2010,22.2,"5,152.9"
GREATER GEELONG,G21,Regional Victoria,2010,25.7,"7,527.0"
GREATER SHEPPARTON,Hume,Regional Victoria,2010,25.8,"7,659.1"
HEPBURN,Central Highlands,Regional Victoria,2010,29.6,"4,721.8"
HINDMARSH,Wimmera Southern Mallee,Regional Victoria,2010,15.8,"6,635.9"
HOBSONS BAY,Melbourne,Metropolitan Melbourne,2010,15.6,"8,202.0"
HORSHAM,Wimmera Southern Mallee,Regional Victoria,2010,25.7,"15,674.5"
HUME,Melbourne,Metropolitan Melbourne,2010,24.5,"5,824.0"
INDIGO,Hume,Regional Victoria,2010,17.7,"6,000.1"
KINGSTON,Melbourne,Metropolitan Melbourne,2010,17.1,"5,092.2"
KNOX,Melbourne,Metropolitan Melbourne,2010,20.9,"2,534.4"
LATROBE,Gippsland,Regional Victoria,2010,31.7,"5,258.4"
LODDON,Loddon Mallee South,Regional Victoria,2010,21.9,"4,601.2"
MACEDON RANGES,Loddon Mallee South,Regional Victoria,2010,28.3,"11,767.3"
MANNINGHAM,Melbourne,Metropolitan Melbourne,2010,18.6,"6,872.3"
MANSFIELD,Hume,Regional Victoria,2010,26.9,"3,170.1"
MARIBYRNONG,Melbourne,Metropolitan Melbourne,2010,23.1,"5,258.7"
MAROONDAH,Melbourne,Metropolitan Melbourne,2010,23.5,"6,609.5"
MELBOURNE,Melbourne,Metropolitan Melbourne,2010,14.1,"6,895.1"
MILDURA,Loddon Mallee North,Regional Victoria,2010,27.3,"3,510.0"
MITCHELL,Hume,Regional Victoria,2010,32.1,"7,679.4"
MOIRA,Hume,Regional Victoria,2010,23.3,"8,802.5"
MONASH,Melbourne,Metropolitan Melbourne,2010,19.1,"2,592.3"
MOONEE VALLEY,Melbourne,Metropolitan Melbourne,2010,19.6,"5,357.0"
MOORABOOL,Central Highlands,Regional Victoria,2010,28.7,"12,562.7"
MORELAND,Melbourne,Metropolitan Melbourne,2010,20.3,"2,684.3"
MORNINGTON PENINSULA,Melbourne,Metropolitan Melbourne,2010,25.2,"3,796.6"
MOUNT ALEXANDER,Loddon Mallee South,Regional Victoria,2010,25.5,"4,868.2"
MOYNE,Great South Coast,Regional Victoria,2010,19.8,"6,691.8"
MURRINDINDI,Hume,Regional Victoria,2010,21.8,"5,273.8"
NILLUMBIK,Melbourne,Metropolitan Melbourne,2010,17.7,"4,926.7"
NORTHERN GRAMPIANS,Wimmera Southern Mallee,Regional Victoria,2010,26.1,"4,404.9"
PORT PHILLIP,Melbourne,Metropolitan Melbourne,2010,10.5,"4,146.0"
PYRENEES,Central Highlands,Regional Victoria,2010,13.2,"4,309.2"
SOUTH GIPPSLAND,Gippsland,Regional Victoria,2010,20.5,"2,548.7"
SOUTHERN GRAMPIANS,Great South Coast,Regional Victoria,2010,5.3,"5,585.7"
STONNINGTON,Melbourne,Metropolitan Melbourne,2010,14.9,"7,375.2"
STRATHBOGIE,Hume,Regional Victoria,2010,27.3,"4,079.9"
SURF COAST,G21,Regional Victoria,2010,18,"6,055.7"
SWAN HILL,Loddon Mallee North,Regional Victoria,2010,23.7,"3,991.0"
TOWONG,Hume,Regional Victoria,2010,15.2,"5,210.8"
WANGARATTA,Hume,Regional Victoria,2010,28.7,"3,929.2"
WARRNAMBOOL,Great South Coast,Regional Victoria,2010,20.8,"5,008.5"
WELLINGTON,Gippsland,Regional Victoria,2010,27.4,"4,742.0"
WEST WIMMERA,Wimmera Southern Mallee,Regional Victoria,2010,25.3,"7,602.3"
WHITEHORSE,Melbourne,Metropolitan Melbourne,2010,18.4,"4,055.5"
WHITTLESEA,Melbourne,Metropolitan Melbourne,2010,23.6,"9,043.5"
WYNDHAM,Melbourne,Metropolitan Melbourne,2010,22.4,"5,280.3"
YARRA,Melbourne,Metropolitan Melbourne,2010,13.6,"4,767.7"
YARRA RANGES,Melbourne,Metropolitan Melbourne,2010,24.3,"9,286.7"
YARRIAMBIACK,Wimmera Southern Mallee,Regional Victoria,2010,21.7,"8,038.3"
ALPINE,Hume,Regional Victoria,2011,25.4,"5,941.9"
ARARAT,Central Highlands,Regional Victoria,2011,21.9,"9,162.7"
