LGA,Year,Incidents Recorded,"Rate per 100,000 population"
 MOIRA,2020,"1,595","5,273.8"
 MONASH,2020,"9,885","4,926.7"
 MURRINDINDI,2020,654,"4,404.9"
 SOUTH GIPPSLAND,2020,"1,253","4,146.0"
 STRATHBOGIE,2020,480,"4,309.2"
 TOWONG,2020,157,"2,548.7"
 WANGARATTA,2020,"1,646","5,585.7"
 WELLINGTON,2020,"3,321","7,375.2"
 WHITEHORSE,2020,"7,206","4,079.9"
 WODONGA,2020,"2,579","6,055.7"
 YARRA RANGES,2020,"6,332","3,991.0"
TOTAL,2020,"89,721","5,210.8"
 BAYSIDE,2020,"4,121","3,929.2"
 CARDINIA,2020,"5,825","5,008.5"
 CASEY,2020,"17,232","4,742.0"
 FRANKSTON,2020,"10,794","7,602.3"
 GLEN EIRA,2020,"6,265","4,055.5"
 GREATER DANDENONG,2020,"14,965","9,043.5"
 KINGSTON,2020,"8,606","5,280.3"
 MORNINGTON PENINSULA,2020,"8,101","4,767.7"
 PORT PHILLIP,2020,"10,260","9,286.7"
 STONNINGTON,2020,"9,045","8,038.3"
TOTAL,2020,"95,214","5,941.9"
 ARARAT,2020,"1,090","9,162.7"
 BALLARAT,2020,"7,343","6,587.1"
 BULOKE,2020,285,"4,637.2"
 CAMPASPE,2020,"2,493","6,506.3"
 CENTRAL GOLDFIELDS,2020,808,"6,083.4"
 COLAC-OTWAY,2020,"1,359","6,111.2"
 CORANGAMITE,2020,649,"4,034.8"
 GANNAWARRA,2020,680,"6,440.6"
 GLENELG,2020,"1,080","5,393.0"
 GOLDEN PLAINS,2020,447,"1,837.8"
 GREATER BENDIGO,2020,"8,097","6,761.5"
 GREATER GEELONG,2020,"16,545","6,230.6"
 HEPBURN,2020,562,"3,445.7"
 HINDMARSH,2020,311,"5,494.7"
 HORSHAM,2020,"1,478","7,262.5"
 LODDON,2020,391,"5,115.1"
 MACEDON RANGES,2020,"1,912","3,763.3"
 MILDURA,2020,"4,651","8,123.0"
 MOORABOOL,2020,"2,045","5,544.7"
 MOUNT ALEXANDER,2020,762,"3,828.0"
 MOYNE,2020,532,"3,117.7"
 NORTHERN GRAMPIANS,2020,834,"7,075.6"
 PYRENEES,2020,371,"4,927.0"
 QUEENSCLIFFE,2020,100,"3,237.3"
 SOUTHERN GRAMPIANS,2020,827,"5,018.5"
 SURF COAST,2020,"1,197","3,347.5"
 SWAN HILL,2020,"1,818","8,466.8"
 WARRNAMBOOL,2020,"2,318","6,555.8"
 WEST WIMMERA,2020,131,"3,284.9"
 YARRIAMBIACK,2020,361,"5,442.5"
TOTAL,2020,"61,477","5,947.8"
 JUSTICE INSTITUTIONS AND IMMIGRATION FACILITIES,2020,"1,326",
TOTAL,2020,"1,326",
 UNINCORPORATED VIC,2020,37,
TOTAL,2020,37,
 BANYULE,2019,"7,044","5,398.6"
 BRIMBANK,2019,"15,147","7,331.2"
 DAREBIN,2019,"11,416","7,263.8"
 HOBSONS BAY,2019,"4,999","5,222.2"
 HUME,2019,"15,878","6,754.0"
 MARIBYRNONG,2019,"6,904","7,724.5"
 MELBOURNE,2019,"26,989","15,958.3"
 MELTON,2019,"9,077","5,491.4"
 MERRI-BEK,2019,"10,843","6,051.8"
 MOONEE VALLEY,2019,"6,475","5,127.2"
 NILLUMBIK,2019,"1,655","2,569.8"
 WHITTLESEA,2019,"12,070","5,344.8"
 WYNDHAM,2019,"13,215","4,843.3"
 YARRA,2019,"11,073","11,479.5"
TOTAL,2019,"152,785","6,901.3"
 ALPINE,2019,426,"3,306.4"
 BASS COAST,2019,"1,836","4,911.5"
 BAW BAW,2019,"3,606","6,681.5"
 BENALLA,2019,961,"6,758.6"
 BOROONDARA,2019,"6,177","3,440.3"
 EAST GIPPSLAND,2019,"3,645","7,689.7"
 GREATER SHEPPARTON,2019,"6,345","9,377.6"
 INDIGO,2019,434,"2,574.3"
 KNOX,2019,"8,785","5,384.8"
 LATROBE,2019,"10,100","13,284.9"
 MANNINGHAM,2019,"3,822","3,015.4"
 MANSFIELD,2019,315,"3,350.4"
 MAROONDAH,2019,"5,997","5,088.7"
 MITCHELL,2019,"3,140","6,780.7"
 MOIRA,2019,"1,938","6,447.3"
 MONASH,2019,"9,071","4,543.3"
 MURRINDINDI,2019,603,"4,096.7"
 SOUTH GIPPSLAND,2019,"1,312","4,389.9"
 STRATHBOGIE,2019,447,"4,103.2"
 TOWONG,2019,149,"2,429.1"
 WANGARATTA,2019,"1,762","5,992.6"
 WELLINGTON,2019,"3,274","7,337.5"
 WHITEHORSE,2019,"7,269","4,136.3"
 WODONGA,2019,"2,794","6,647.9"
 YARRA RANGES,2019,"6,161","3,885.0"
TOTAL,2019,"90,369","5,281.3"
 BAYSIDE,2019,"4,013","3,820.8"
 CARDINIA,2019,"5,257","4,699.7"
 CASEY,2019,"16,635","4,731.4"
 FRANKSTON,2019,"11,034","7,780.3"
 GLEN EIRA,2019,"5,699","3,705.3"
 GREATER DANDENONG,2019,"14,689","8,839.7"
 KINGSTON,2019,"8,917","5,469.8"
 MORNINGTON PENINSULA,2019,"8,657","5,140.9"
 PORT PHILLIP,2019,"9,779","8,753.9"
 STONNINGTON,2019,"9,055","7,961.2"
TOTAL,2019,"93,735","5,905.9"
 ARARAT,2019,853,"7,215.4"
 BALLARAT,2019,"8,927","8,141.4"
 BULOKE,2019,241,"3,913.0"
 CAMPASPE,2019,"2,918","7,662.0"
 CENTRAL GOLDFIELDS,2019,892,"6,690.2"
 COLAC-OTWAY,2019,"1,286","5,842.5"
 CORANGAMITE,2019,523,"3,237.6"
 GANNAWARRA,2019,630,"5,972.1"
 GLENELG,2019,"1,080","5,408.1"
 GOLDEN PLAINS,2019,485,"2,039.7"
 GREATER BENDIGO,2019,"8,438","7,147.0"
 GREATER GEELONG,2019,"16,488","6,346.9"
 HEPBURN,2019,724,"4,501.9"
 HINDMARSH,2019,229,"4,044.5"
 HORSHAM,2019,"1,320","6,542.4"
 LODDON,2019,373,"4,895.0"
 MACEDON RANGES,2019,"1,744","3,481.2"
 MILDURA,2019,"5,550","9,786.8"
 MOORABOOL,2019,"1,596","4,464.5"
 MOUNT ALEXANDER,2019,911,"4,630.9"
 MOYNE,2019,505,"2,974.6"
 NORTHERN GRAMPIANS,2019,764,"6,532.1"
 PYRENEES,2019,411,"5,525.7"
 QUEENSCLIFFE,2019,105,"3,537.7"
 SOUTHERN GRAMPIANS,2019,945,"5,776.3"
 SURF COAST,2019,"1,003","2,935.8"
 SWAN HILL,2019,"1,872","8,753.0"
 WARRNAMBOOL,2019,"2,604","7,427.3"
 WEST WIMMERA,2019,131,"3,296.4"
 YARRIAMBIACK,2019,297,"4,453.4"
TOTAL,2019,"63,845","6,272.8"
 JUSTICE INSTITUTIONS AND IMMIGRATION FACILITIES,2019,"1,354",
TOTAL,2019,"1,354",
 UNINCORPORATED VIC,2019,107,
TOTAL,2019,107,
 BANYULE,2018,"7,165","5,530.8"
 BRIMBANK,2018,"14,572","7,044.8"
 DAREBIN,2018,"11,604","7,391.1"
 HOBSONS BAY,2018,"4,813","5,062.1"
 HUME,2018,"15,543","6,898.0"
 MARIBYRNONG,2018,"6,937","7,811.2"
 MELBOURNE,2018,"26,922","16,469.9"
 MELTON,2018,"8,048","5,131.0"
 MERRI-BEK,2018,"11,611","6,539.2"
 MOONEE VALLEY,2018,"6,682","5,328.7"
 NILLUMBIK,2018,"1,644","2,549.1"
 WHITTLESEA,2018,"11,777","5,343.1"
 WYNDHAM,2018,"11,291","4,397.5"
 YARRA,2018,"11,313","11,853.5"
TOTAL,2018,"149,922","6,931.2"
 ALPINE,2018,393,"3,068.6"
 BASS COAST,2018,"1,660","4,605.9"
 BAW BAW,2018,"3,165","6,041.0"
 BENALLA,2018,874,"6,178.9"
 BOROONDARA,2018,"5,603","3,125.0"
 EAST GIPPSLAND,2018,"3,170","6,768.4"
 GREATER SHEPPARTON,2018,"6,196","9,278.9"
 INDIGO,2018,342,"2,060.5"
 KNOX,2018,"8,072","4,972.3"
 LATROBE,2018,"9,907","13,119.6"
 MANNINGHAM,2018,"3,347","2,677.7"
 MANSFIELD,2018,333,"3,642.5"
 MAROONDAH,2018,"5,911","5,050.7"
 MITCHELL,2018,"2,998","6,735.3"
 MOIRA,2018,"1,566","5,240.8"
 MONASH,2018,"8,228","4,157.2"
 MURRINDINDI,2018,571,"3,924.9"
 SOUTH GIPPSLAND,2018,"1,022","3,455.4"
 STRATHBOGIE,2018,440,"4,102.9"
 TOWONG,2018,178,"2,920.9"
 WANGARATTA,2018,"1,739","5,947.1"
 WELLINGTON,2018,"2,824","6,390.4"
 WHITEHORSE,2018,"6,250","3,585.1"
 WODONGA,2018,"2,384","5,744.7"
 YARRA RANGES,2018,"5,541","3,513.7"
TOTAL,2018,"82,714","4,882.4"
 BAYSIDE,2018,"3,697","3,536.3"
 CARDINIA,2018,"4,569","4,276.5"
 CASEY,2018,"15,892","4,704.8"
 FRANKSTON,2018,"11,296","7,987.8"
 GLEN EIRA,2018,"4,975","3,266.8"
 GREATER DANDENONG,2018,"14,075","8,540.7"
 KINGSTON,2018,"8,532","5,280.9"
 MORNINGTON PENINSULA,2018,"8,137","4,889.6"
 PORT PHILLIP,2018,"9,926","8,968.5"
 STONNINGTON,2018,"8,334","7,356.5"
TOTAL,2018,"89,433","5,734.3"
 ARARAT,2018,901,"7,640.8"
 BALLARAT,2018,"8,055","7,491.8"
 BULOKE,2018,182,"2,931.7"
 CAMPASPE,2018,"2,841","7,493.5"
 CENTRAL GOLDFIELDS,2018,970,"7,283.9"
 COLAC-OTWAY,2018,"1,269","5,820.0"
 CORANGAMITE,2018,539,"3,323.5"
 GANNAWARRA,2018,519,"4,899.9"
 GLENELG,2018,"1,030","5,181.9"
 GOLDEN PLAINS,2018,509,"2,197.1"
 GREATER BENDIGO,2018,"7,733","6,662.1"
 GREATER GEELONG,2018,"16,009","6,329.7"
 HEPBURN,2018,602,"3,789.7"
 HINDMARSH,2018,254,"4,467.1"
 HORSHAM,2018,"1,575","7,857.3"
 LODDON,2018,390,"5,135.0"
 MACEDON RANGES,2018,"1,660","3,370.3"
 MILDURA,2018,"5,545","9,882.2"
 MOORABOOL,2018,"1,764","5,093.8"
 MOUNT ALEXANDER,2018,691,"3,547.0"
 MOYNE,2018,428,"2,535.2"
 NORTHERN GRAMPIANS,2018,764,"6,572.6"
